symbol,year,sales,net_profit,borrowings,operating_profit,sales_zscore,net_profit_zscore,borrowings_zscore,operating_profit_zscore,zscore_anomaly,isolation_flag,isolation_anomaly,final_anomaly
ASIANPAINT,2023.0,34489,4195,1933.0,6260.0,0.2660508398089505,0.1593583867199101,0.3485830848670447,0.33774773286540505,False,1,False,False
ASIANPAINT,2024.0,35495,5558,2474.0,7585.0,0.2574394444106389,0.02436303154066404,0.34615418513168744,0.28501280150112224,False,1,False,False
ASIANPAINT,2024.0,35495,5558,2516.0,7585.0,0.2574394444106389,0.02436303154066404,0.3459656199026948,0.28501280150112224,False,1,False,False
ASIANPAINT,2024.0,35495,5558,2474.0,7585.0,0.2574394444106389,0.02436303154066404,0.34615418513168744,0.28501280150112224,False,1,False,False
ASIANPAINT,2024.0,35495,5558,2516.0,7585.0,0.2574394444106389,0.02436303154066404,0.3459656199026948,0.28501280150112224,False,1,False,False
ASIANPAINT,2019.0,34831,4631,6695.0,6681.0,0.26312330777493204,0.11617571991275583,0.3272033796179293,0.3209919546734329,False,1,False,False
ATGL,2018.0,1374,162,1345.0,366.0,0.5495164050326988,0.5587980546860872,0.3512229980729414,0.5723286275530147,False,1,False,False
ATGL,2019.0,1719,229,394.0,455.0,0.5465631928931187,0.5521621861629694,0.3554926536151314,0.568786432163263,False,1,False,False
ATGL,2020.0,1875,436,428.0,595.0,0.5452278274039173,0.531660323710949,0.3553400055726135,0.5632144394153387,False,1,False,False
ATGL,2021.0,1696,463,529.0,704.0,0.5467600737024241,0.5289861677389462,0.3548865510933694,0.5588762450615977,False,1,False,False
ATGL,2022.0,3038,509,1035.0,773.0,0.535272506481217,0.5244301983051639,0.3526147890488393,0.556130048635835,False,1,False,False
ATGL,2023.0,4378,546,1422.0,870.0,0.5238020593303844,0.5207656141953825,0.3508772951531216,0.5522694536604875,False,1,False,False
ATGL,2024.0,4475,668,1557.0,1104.0,0.5229717359172271,0.5086823909144815,0.3502711926313596,0.5429562657818142,False,1,False,False
ATGL,2024.0,4475,668,1457.0,1104.0,0.5229717359172271,0.5086823909144815,0.3507201574622944,0.5429562657818142,False,1,False,False
ATGL,2019.0,4826,668,6695.0,1153.0,0.519967163566524,0.5086823909144815,0.3272033796179293,0.5410060683200407,False,1,False,False
BAJAJ-AUTO,2013.0,20025,3133,116.0,3656.0,0.38986318875644543,0.26454185495201527,0.35674077584513014,0.44138679797679553,False,1,False,False
BAJAJ-AUTO,2014.0,20137,3380,59.0,4163.0,0.38890446481548036,0.24007827994887967,0.356996685798763,0.42120822423966997,False,1,False,False
BAJAJ-AUTO,2015.0,21595,3026,112.0,4128.0,0.3764239335125595,0.2751394360262481,0.35675873443836753,0.42260122242665105,False,1,False,False
BAJAJ-AUTO,2016.0,22574,4061,118.0,4793.0,0.36804365906430186,0.1726301237661456,0.35673179654851145,0.396134256874011,False,1,False,False
BAJAJ-AUTO,2017.0,21755,4079,120.0,4429.0,0.3750543278826093,0.1708473531181438,0.35672281725189275,0.41062143801861395,False,1,False,False
BAJAJ-AUTO,2018.0,25210,4219,121.0,4846.0,0.3454794063108729,0.15698135918924105,0.3567183276035834,0.39402485961943967,False,1,False,False
BAJAJ-AUTO,2019.0,30358,4928,125.0,5198.0,0.30141234516722637,0.08676000422072641,0.356700369010346,0.3800152778532302,False,1,False,False
BAJAJ-AUTO,2020.0,29919,5212,126.0,5109.0,0.3051702006144021,0.05863184510780941,0.35669587936203667,0.383557473242982,False,1,False,False
BAJAJ-AUTO,2021.0,27741,4857,121.0,4938.0,0.3238139572520987,0.09379204399895567,0.3567183276035834,0.39036326438508945,False,1,False,False
BAJAJ-AUTO,2022.0,33145,6166,123.0,5259.0,0.2775555271005319,0.035854999236285046,0.3567093483069647,0.3775874810130632,False,1,False,False
BAJAJ-AUTO,2023.0,36455,6060,124.0,6465.0,0.24922181063093785,0.025356460975830105,0.35670485865865537,0.329588743484516,False,1,False,False
BAJAJ-AUTO,2024.0,44870,7708,1912.0,8765.0,0.17718911453074634,0.18857901808177105,0.34867736748154105,0.23804886262576092,False,1,False,False
BAJAJ-AUTO,2024.0,44870,7708,5245.0,8765.0,0.17718911453074634,0.18857901808177105,0.33371336966648396,0.23804886262576092,False,1,False,False
BAJAJ-AUTO,2019.0,48900,7371,6695.0,9143.0,0.14269217272637658,0.15520158983862659,0.3272033796179293,0.22300448220636554,False,1,False,False
AXISBANK,2013.0,27183,5179,296254.0,8313.0,0.3285904568865499,0.061900257962479346,0.972814695188586,0.25603843921191627,False,1,False,False
AXISBANK,2014.0,30641,6218,333280.0,9644.0,0.298989855209252,0.041005225552734635,1.1390484134905072,0.20306470815843672,False,1,False,False
AXISBANK,2015.0,35479,7358,406638.0,11127.0,0.2575764049736339,0.15391403325951417,1.4684000341676624,0.14404138497863941,False,1,False,False
AXISBANK,2016.0,40988,8224,472150.0,13367.0,0.21041917112741224,0.23968510999115547,1.7625258742096725,0.054889501011851874,False,1,False,False
AXISBANK,2017.0,44542,3679,527437.0,23808.0,0.1799968060721442,0.21046447862929452,2.0107450602885986,0.36066175813869666,False,1,False,False
AXISBANK,2018.0,45780,276,611425.0,28895.0,0.1693994825104048,0.5475071739154093,2.387821642494124,0.5631240946293432,False,1,False,False
AXISBANK,2019.0,54986,4677,711996.0,27155.0,0.09059579857714715,0.11161975047897349,2.8393500626135677,0.493872184762285,False,1,False,False
AXISBANK,2020.0,62635,1627,797337.0,35066.0,0.02512008943034207,0.4137003325014977,3.2225011389816407,0.8087295749682031,True,1,False,True
AXISBANK,2021.0,63346,6588,850551.0,31749.0,0.019033904412251022,0.07765106665054905,3.4614132841152885,0.6767131467905985,True,1,False,True
AXISBANK,2022.0,67377,13025,1020943.0,29962.0,0.015471597427305953,0.715189658938742,4.226413438841723,0.6055906393581657,True,1,False,True
AXISBANK,2023.0,85164,9580,1152038.0,29089.0,0.1677289433018284,0.3739871654739564,4.8149838839557075,0.5708452845800382,True,1,False,True
AXISBANK,2024.0,109369,24861,1295302.0,37943.0,0.37492459500772685,1.8874604028136917,5.458188859346148,0.9232340259380458,True,-1,True,True
AXISBANK,2019.0,120659,26386,6695.0,44566.0,0.47156739227108535,2.0385006938249535,0.3272033796179293,1.186829082863061,False,1,False,False
BAJAJFINSV,2013.0,8055,2214,12991.0,3931.0,0.4923268099470922,0.355562200813884,0.29893655386227386,0.4304418122219444,False,1,False,False
BAJAJFINSV,2014.0,6023,2191,19507.0,4491.0,0.5097208014474592,0.3578401855307752,0.2696820054785619,0.4081538412302475,False,1,False,False
